Nº;EMPRESA;TRIBUTAÇÃO;CONTABIL;COMPETENCIA;DATA CONCLUSÃO;OBSERVAÇÕES;QUEM CONFERIU;COLABORADOR
949;AGUA MINERAL REGENERADORA LTDA;SIMPLES;SEM MOVIMENTO;06 - JUNHO;2025-07-22 00:00:00;;PABLO;;
794;ANDERSON CRISTIANO NARDI SOCIEDADE INDIVIDUAL DE ADVOCACIA;SIMPLES;MOVIMENTO MENSAL;05 - MAIO;2025-07-22 00:00:00;AGUARDANDO EXTRATO DO MÊS 06/2025;PABLO;;
575;ÁTRIA VIAGENS, CONSULTORIA E SERVIÇOS LTDA ME;SIMPLES;MOVIMENTO MENSAL;06 - JUNHO;2025-07-23 00:00:00;CONTABIL PRONTO ATÉ 06/2025 / RYAN VAI VERIFICAR PARA TIRAR O PLANO DE SAÚDE DA CONTA SALARIOS E REMUNERAÇÕES A PAGAR;PABLO;;
750;AZO3 TECNOLOGIA LTDA;SIMPLES;MOVIMENTO MENSAL;06 - JUNHO;2025-07-25 00:00:00;AGUARDANDO VIRAR O MÊS;PABLO;;
917;BR REPRESENTACOES LTDA;SIMPLES;MOVIMENTO MENSAL;07 - JULHO;2025-08-19 00:00:00;INICIO 18/08/25 - COMP 02/2025, 03/2025, 04/2025, 05/2025, 06/2025,07/2025;TANIA;;
937;BRANCORP;SIMPLES;;01 - JANEIRO;;;;;
910;BRAVO TERRAPLANAGEM LTDA;SIMPLES;;01 - JANEIRO;;;;;
827;CAESARS CONSULTORIA & TECNOLOGIA DA INF;SIMPLES;;01 - JANEIRO;;;;;
491;CLÍNICA CLIMAD LTDA - Matriz;SIMPLES;;01 - JANEIRO;;;;;
491-3;CLÍNICA CLIMAD LTDA - Tangará;SIMPLES;;01 - JANEIRO;;;;;
491-4;CLÍNICA CLIMAD LTDA - Treze Tilías;SIMPLES;;01 - JANEIRO;;;;;
914;CLINICA DE MUSICOTERAPIA LUZENTE LTDA;SIMPLES;;01 - JANEIRO;;;;;
525;CLÍNICA MEDICA DR. MADEIRA EIRELI;SIMPLES;;01 - JANEIRO;;;;;
507;CLÍNICA MÉDICA TORRICO LTDA;SIMPLES;;01 - JANEIRO;;;;;
843;COMPACTERRA LOCAÇÃO DE MÁQUINAS LTDA;SIMPLES;;01 - JANEIRO;;;;;
942;CV DEDETIZADORA E CONTROLE DE PRAGAS URBANAS E RURAIS LTDAF;SIMPLES;;01 - JANEIRO;;;;;
974;DRALX ENGENHARIA LTDA;SIMPLES;;01 - JANEIRO;;;;;
859;E2R CONTABILIDADE E CONSULTORIA LTDA;SIMPLES;;01 - JANEIRO;;;;;
795;EDSON RISSI;SIMPLES;;07 - JULHO;2025-08-19 00:00:00;ENVIADO REL FORNECEDOR WHATS E COMENTADO SOBRE AS GUIAS EM ABERTO - NÃO TEM MOVIMENTO BANCÁRIO;TANIA;;
451-3;EMW - FILIAL HERVAL D´OESTE/SC;SIMPLES;;01 - JANEIRO;2025-08-19 00:00:00;21/08 terminado 06/2025;TANIA;;
451;EMW - TANGARÁ;SIMPLES;;01 - JANEIRO;;;;;
927;ESPAÇO VITAL ACADEMIA;SIMPLES;;01 - JANEIRO;;;;;
834;FAST SOLUCOES FINANCEIRAS LTDA;SIMPLES;;01 - JANEIRO;;;;;
855;FINA ARTE SOLUÇÕES ODONTOLOGICAS LTDA;SIMPLES;;01 - JANEIRO;;;;;
839;FISIODAY CLINICA DE FISIOTERAPIA LTDA;SIMPLES;;01 - JANEIRO;;;;;
846;FONTANA & FONTANA REPRESENTAÇÕES COMERCIAIS;SIMPLES;;01 - JANEIRO;;;;;
928;GA ENGENHARIA LTDA.;SIMPLES;;01 - JANEIRO;;;;;
969;GALARDÃO ASSESSORIA TECNICA E TREINAMENTOS LTDA;SIMPLES;;01 - JANEIRO;;;;;
883;IFG TRANSPORTES LTDA;SIMPLES;;01 - JANEIRO;;883 - IFG, o cliente pagou duas vezes a guia de 06/2025. Fazer a compensação no próximo fechamento;;;
975;J. A. JARSCHEL;SIMPLES;;01 - JANEIRO;;;;;
990;J.GOMES REPRESENTACOES LTDA - início 19/05/2025;SIMPLES;;01 - JANEIRO;;;;;
98;JP CONTÁBIL S/S LTDA;SIMPLES;;01 - JANEIRO;;;;;
098-1;JP CONTÁBIL S/S LTDA - FILIAL;SIMPLES;;01 - JANEIRO;;;;;
921;KERN TRANSPORTES LTDA;SIMPLES;;01 - JANEIRO;;;;;
844;M & M SERVIÇOS LTDA;SIMPLES;;01 - JANEIRO;;;;;
608;M.N SERVIÇOS ADMINISTRATIVOS;SIMPLES;;01 - JANEIRO;;;;;
845;MACEDO ENGENHARIA E CONSULTORIA LTDA;SIMPLES;;01 - JANEIRO;;;;;
798;MC INFO SERVICES LTDA;SIMPLES;;01 - JANEIRO;;;;;
968;MINERADORA KATARINA;SIMPLES;;01 - JANEIRO;;;;;
880;MIORANZA ODONTOLOGIA LTDA;SIMPLES;;01 - JANEIRO;;;;;
950;NASO ARTES PLASTICAS LTDA;SIMPLES;;01 - JANEIRO;;;;;
906;PATRICIA SIMONE KASTELLER;SIMPLES;;01 - JANEIRO;;;;;
808;PDK TECNOLOGIA DA INFORMAÇÃO LTDA;SIMPLES;;01 - JANEIRO;;;;;
886;PELENTIR TRANSPORTES;SIMPLES;;01 - JANEIRO;;;;;
789;PICTOM DESIGNER;SIMPLES;;01 - JANEIRO;;;;;
759;PRICEOFF SISTEMAS LTDA - ME;SIMPLES;;01 - JANEIRO;;;;;
987;R&R MECANICA AGRICOLA LTDA;SIMPLES;;01 - JANEIRO;;;;;
882;ROMANA PSICOLOGIA E TREINAMENTOS LTDA;SIMPLES;;01 - JANEIRO;;;;;
762;SCALABRIN CONSULTORIA AGRÍCOLA LTDA ME;SIMPLES;;01 - JANEIRO;;;;;
804;SCORTEGANHA & ALBERTI ESCAVAÇÕES LTDA;SIMPLES;;01 - JANEIRO;;;;;
956;SERGINHO VIOLAO E VOZ LTDA;SIMPLES;;01 - JANEIRO;;;;;
876;SERGIO CARLOS BALBINOTE SOCIEDADE INDIVIDUAL DE ADVOCACIA;SIMPLES;MOVIMENTO MENSAL;06 - JUNHO;2025-08-04 00:00:00;FALTA LANÇAR 2 VALORES DE 309,46 (DEVE SER ALVARA);;;
909;SILAGEM 3D LTDA;SIMPLES;;01 - JANEIRO;;;;;
367;SILVA & DRI AGRONOMOS ASSOCIADOS LTDA;SIMPLES;;01 - JANEIRO;;;;;
874;SOS AUTO SOCORRO TANGARA LTDA;SIMPLES;;01 - JANEIRO;;;;;
983;TARC INDUTRIAL;SIMPLES;;01 - JANEIRO;;;;;
776;TEREZINHA CELZLEIN BRAMBILLA ME;SIMPLES;;01 - JANEIRO;;;;;
941;TONIALVET SERVIÇOS VETERINÁRIOS LTDA;SIMPLES;;01 - JANEIRO;;;;;
796;TRANSPORTES FRITZEN;SIMPLES;;01 - JANEIRO;;;;;
971;TRANSPORTES MA LTDA;SIMPLES;;01 - JANEIRO;;;;;
420;TULIPA LOTERIAS LTDA ME;SIMPLES;;01 - JANEIRO;;;;;
803;VANESSA GIOVANA PETRY TREVISAN BALBINOTE – SOCIEDADE INDIVIDUAL DE ADVOCACIA;SIMPLES;;01 - JANEIRO;;AGUARDANDO PARA MIGRAR DO QESTOR P/ CONTABIT - PROBLEMA EM UM APARTAMENTO ( SE DEVE SER CONTABILIZADO OU NÃO);;;
870;VANESSA HACK FISIOTERAPIA & PILATES LTDA;SIMPLES;;01 - JANEIRO;;;;;
488;VIAÇÃO FLÓRIDA LTDA ME;SIMPLES;MOVIMENTO MENSAL;05 - MAIO;;LANÇAR CDB (500,00) EM AGOSTO;PABLO;;
877;VINICIUS JOHANN LOPES SOCIEDADE INDIVIDUAL DE ADVOCACIA;SIMPLES;MOVIMENTO MENSAL;06 - JUNHO;2025-08-27 00:00:00;FALTA CONFIRMAR DOIS VALORES DO MÊS 06 COM O CLIENTE, O RESTANTE TÁ OK;PABLO;;
848;3MZ INCORPORADORA LTDA-Matriz;PRESUMIDO;MOVIMENTO;08 - AGOSTO;;LANÇAR SEGURO TOKIO;PABLO;;IPM Viideira acesso: 250.849.099-72 JPTadeu1812*
922;AJV ASSESSORIA ADMINISTRATIVA LTDA-Matriz;PRESUMIDO;MOVIMENTO;08 - AGOSTO;;LANÇAR A APLICAÇÃO DIARIA;PABLO;;
531;ARDAVVI;PRESUMIDO;MOVIMENTO;08 - AGOSTO;2025-09-16 00:00:00;CLIENTE TEM UMA GUIA DE IRPJ EM ABERTO, FOI ENVIADO E AVISADO DUAS VEZES PARA FAZER O PAGAMENTO, O MESMO NÃO RESPONDEU.;PABLO;;https://nfse-videira.atende.net/autoatendimento/servicos/nfse
657;BALBINOTI REPRESENTAÇÕES;PRESUMIDO;MOVIMENTO;08 - AGOSTO;;FALTA LANÇAR AS APLICAÇÕES (AGUARDANDO EXTRATOS);PABLO;;
976;BOTTEGA E BANDIERA;PRESUMIDO;MOVIMENTO;08 - AGOSTO;2025-09-17 00:00:00;EMPRÉSTIMO DE 500 MIL FOI LANÇADO?;PABLO;;
747;EPR EMPREENDIMENTOS IMOBILIÁRIOS;PRESUMIDO;MOVIMENTO;08 - AGOSTO;2025-09-17 00:00:00;;PABLO;;
200;HOSPITAL SAO LUCAS LTDA-Matriz;PRESUMIDO;MOVIMENTO;08 - AGOSTO;;;PABLO;;
923;LUIZ RICARDO PRESTES DE SOUZA LTDA-Matriz;PRESUMIDO;MOVIMENTO;08 - AGOSTO;2025-09-17 00:00:00;VERIFICAR AS NOTAS PAGAS POR BANCO E CONSTAM COMO LANÇADAS NO CAIXA;PABLO;;
847;MVP AVIAÇÃO LTDA-Matriz;PRESUMIDO;MOVIMENTO;08 - AGOSTO;2025-09-17 00:00:00;;PABLO;;
363;RIO BONITO FORCA E LUZ LTDA - Matriz;PRESUMIDO;MOVIMENTO;08 - AGOSTO;2025-09-17 00:00:00;MÊS 6 - 7 - 8 NÃO TEM NADA NA PASTA (ARQUIVOS FISICOS?);PABLO;;
986;VANI EMPREENDIMENTOS;PRESUMIDO;MOVIMENTO;08 - AGOSTO;2025-09-17 00:00:00;;PABLO;;
851;WK INCORPORADORA;PRESUMIDO;MOVIMENTO;08 - AGOSTO;2025-09-17 00:00:00;CONFERIR VALORES EXTRATO BRADESCO CDB, TALVEZ TENHA SIDO LANÇADO COM VALORES DIVERGENTES - PARCELAMENTOS NA 98 AJUSTAR;PABLO;;
642;ZAAL;PRESUMIDO;MOVIMENTO;08 - AGOSTO;2025-09-17 00:00:00;;PABLO;;
787;CANTU ABASTECEDORA LTDA-Matriz;PRESUMIDO;S/M;08 - AGOSTO;2025-09-17 00:00:00;;PABLO;;
774;CANTU AGROPECUARIA LTDA-Matriz;PRESUMIDO;S/M;08 - AGOSTO;2025-09-16 00:00:00;;PABLO;;
947;INCORPORADORA DONA LOURDES LTDA-Matriz;PRESUMIDO;S/M;08 - AGOSTO;2025-09-16 00:00:00;;PABLO;;
721;INDUSTRIA DE PAPEIS FORTES LTDA-Matriz;PRESUMIDO;S/M;08 - AGOSTO;2025-09-16 00:00:00;TEM UMA COTA NO VALOR DE R$ 252,87 QUE FOI LANÇADA NOS MESES (04-05-06) NOS DEMAIS NÃO TEM EXTRATO MAS É O MESMO VALOR;PABLO;;
945;SÃO LUCAS ADMINISTRAÇÃO E PARTICIPAÇÃO;PRESUMIDO;S/M;08 - AGOSTO;2025-09-16 00:00:00;SEM MOVIMENTO EM 2025 (NADA NAS PASTAS);PABLO;;
765;AGROPECUARIA ROSSATO 3JR LTDA-Matriz;PRESUMIDO;S/M;08 - AGOSTO;2025-09-16 00:00:00;SEM MOVIMENTO EM 2025 (NADA NAS PASTAS);PABLO;;
946;BAPE PARTICIPACOES LTDA-Matriz;PRESUMIDO;S/M;08 - AGOSTO;2025-09-16 00:00:00;VERIFICAR ESCRITURA MÊS 06/2025;PABLO;;
580;C&P INDUSTRIA DE EMBALAGENS LTDA-Matriz;PRESUMIDO;MOVIMENTO;08 - AGOSTO;2025-09-17 00:00:00;VERIFICAR PARCELAMENTOS (JANEIRO - FEVEREIRO);PABLO;;
548;COOPERATIVA AGRO-INDUSTRIAL DE DIANOPOLIS - Matriz;PRESUMIDO;S/M;08 - AGOSTO;2025-09-16 00:00:00;SEM MOVIMENTO EM 2025 (NADA NAS PASTAS);PABLO;;
810;EMAGRECER, NUTRICAO E ESTETICA JR LTDA-Matriz;PRESUMIDO;S/M;08 - AGOSTO;2025-09-16 00:00:00;SEM MOVIMENTO EM 2025 (NADA NAS PASTAS);PABLO;;
198;FRIGUZZI TANGARA LTDA-Matriz;PRESUMIDO;S/M;08 - AGOSTO;2025-09-16 00:00:00;SEM MOVIMENTO EM 2025 (NADA NAS PASTAS);PABLO;;
671;INCORPORADORA DE IMOVEIS BOM FUTURO LTDA-Matriz;PRESUMIDO;S/M;08 - AGOSTO;2025-09-16 00:00:00;SEM MOVIMENTO EM 2025 (NADA NAS PASTAS);PABLO;;
590;IRMAOS BRESSAN S/A IMOVEIS - Matriz;PRESUMIDO;S/M;08 - AGOSTO;2025-09-16 00:00:00;SEM MOVIMENTO EM 2025 (NADA NAS PASTAS);PABLO;;
359;METALURGICA SLONGO LTDA-Matriz;PRESUMIDO;S/M;08 - AGOSTO;2025-09-16 00:00:00;SEM MOVIMENTO EM 2025 (NADA NAS PASTAS);PABLO;;
665;MONTE CARVALHO TRANSPORTES LTDA-Matriz;PRESUMIDO;S/M;08 - AGOSTO;2025-09-16 00:00:00;SEM MOVIMENTO EM 2025 (NADA NAS PASTAS);PABLO;;
763;PRIMOS AGROPECUARIA LTDA-Matriz;PRESUMIDO;S/M;08 - AGOSTO;2025-09-16 00:00:00;SEM MOVIMENTO EM 2025 (NADA NAS PASTAS);PABLO;;
160;SERRARIA PASETTO LTDA-Matriz;PRESUMIDO;S/M;08 - AGOSTO;2025-09-16 00:00:00;SEM MOVIMENTO EM 2025 (NADA NAS PASTAS);PABLO;;
655;TRANSPORTES HACK & SLONGO LTDA-Matriz;PRESUMIDO;S/M;08 - AGOSTO;2025-09-16 00:00:00;SEM MOVIMENTO EM 2025 (NADA NAS PASTAS);PABLO;;
788;VALESAN ENGENHARIA E CONSTRUÇÕES LTDA-Matriz;PRESUMIDO;S/M;08 - AGOSTO;2025-09-16 00:00:00;SEM MOVIMENTO EM 2025 (NADA NAS PASTAS);PABLO;;
690;W & F SLONGO TRANSPORTES LTDA-Matriz;PRESUMIDO;S/M;08 - AGOSTO;2025-09-16 00:00:00;SEM MOVIMENTO EM 2025 (NADA NAS PASTAS);PABLO;;
992;S. ALBERTI TECNOLOGIA;PRESUMIDO;MOVIMENTO;08 - AGOSTO;2025-09-16 00:00:00;;PABLO;;
;AGUA MINERAL REGENERADORA LTDA;SIMPLES;MOVIMENTO;06 - JUNHO;2025-07-22 00:00:00;;;PABLO;
794;ANDERSON CRISTIANO NARDI SOCIEDADE INDIVIDUAL DE ADVOCACIA;SIMPLES;MOVIMENTO;05 - MAIO;2025-07-22 00:00:00;;AGUARDANDO EXTRATO DO MÊS 06/2025;PABLO;
575;ÁTRIA VIAGENS, CONSULTORIA E SERVIÇOS LTDA ME;SIMPLES;MOVIMENTO;09 - SETEMBRO;2025-10-20 00:00:00;Aguardando IKE dis lucro reinf 06/2025 e 07/2025 - 21/10 Tania;CONTABIL PRONTO ATÉ 09/2025;TANIA;
750;AZO3 TECNOLOGIA LTDA;SIMPLES;MOVIMENTO;06 - JUNHO;2025-07-25 00:00:00;;AGUARDANDO VIRAR O MÊS;PABLO;
917;BR REPRESENTACOES LTDA;SIMPLES;S/M;07 - JULHO;2025-08-19 00:00:00;;INICIO 18/08/25 - COMP 02/2025, 03/2025, 04/2025, 05/2025, 06/2025,07/2025;TANIA;
937;BRANCORP;SIMPLES;MOVIMENTO;09 - SETEMBRO;2025-10-21 00:00:00;OK;Enviado Balancete ao cliente pediu 22/10/2025 Tania;TANIA;
910;BRAVO TERRAPLANAGEM LTDA;SIMPLES;MOVIMENTO;08 - AGOSTO;2025-09-30 00:00:00;FAZER;;;
827;CAESARS CONSULTORIA & TECNOLOGIA DA INF;SIMPLES;MOVIMENTO;01 - JANEIRO;;;;PABLO;
491;CLÍNICA CLIMAD LTDA - Matriz;SIMPLES;MOVIMENTO;01 - JANEIRO;;FAZER;VER SOBRES A CONTAS;;
491-3;CLÍNICA CLIMAD LTDA - Tangará;SIMPLES;MOVIMENTO;01 - JANEIRO;;FAZER;;;
491-4;CLÍNICA CLIMAD LTDA - Treze Tilías;SIMPLES;MOVIMENTO;01 - JANEIRO;;FAZER;;;
914;CLINICA DE MUSICOTERAPIA LUZENTE LTDA;SIMPLES;MOVIMENTO;01 - JANEIRO;;;;;
525;CLÍNICA MEDICA DR. MADEIRA EIRELI;SIMPLES;MOVIMENTO;01 - JANEIRO;;FAZER;Solicitado dct 27/10/2025;;
