Nº;EMPRESA;TRIBUTAÇÃO;CONTABIL;COMPETENCIA;DATA CONCLUSÃO;OBSERVAÇÕES;QUEM CONFERIU;COLABORADOR
507;CLÍNICA MÉDICA TORRICO LTDA;SIMPLES;MOVIMENTO;01 - JANEIRO;;FAZER;Tania/Anderson vai verificar para liberar acesso essa semana ao Sicoob Internet Banking;;
843;COMPACTERRA LOCAÇÃO DE MÁQUINAS LTDA;SIMPLES;MOVIMENTO;01 - JANEIRO;;;;;
942;CV DEDETIZADORA E CONTROLE DE PRAGAS URBANAS E RURAIS LTDAF;SIMPLES;MOVIMENTO;01 - JANEIRO;;;;;
974;DRALX ENGENHARIA LTDA;SIMPLES;MOVIMENTO;01 - JANEIRO;;FAZER;valores extranhos lançar contra antecipação de lucros - trabalhar com valores inteiros;;
859;E2R CONTABILIDADE E CONSULTORIA LTDA;SIMPLES;MOVIMENTO;01 - JANEIRO;;FAZER;valores extranhos lançar contra antecipação de lucros - trabalhar com valores inteiros - unimed ver com ZE;;
795;EDSON RISSI;SIMPLES;MOVIMENTO;07 - JULHO;2025-08-19 00:00:00;;ENVIADO REL FORNECEDOR WHATS E COMENTADO SOBRE AS GUIAS EM ABERTO - NÃO TEM MOVIMENTO BANCÁRIO Baixar contra Caixa CFME Tadeu - 01/10/2025;TANIA;
451-3;EMW - FILIAL HERVAL D´OESTE/SC;SIMPLES;MOVIMENTO;08 - AGOSTO;2025-09-30 00:00:00;;21/08 terminado 06/2025;TANIA;
451;EMW - TANGARÁ;SIMPLES;MOVIMENTO;08 - AGOSTO;2025-09-30 00:00:00;;;;
927;ESPAÇO VITAL ACADEMIA;SIMPLES;MOVIMENTO;01 - JANEIRO;;;Cássio - vai notificar cliente para registrar todo recebimento com NF data do recebimento e valores divergentes contra antecipação de lucros;;
834;FAST SOLUCOES FINANCEIRAS LTDA;SIMPLES;MOVIMENTO;01 - JANEIRO;;FAZER;;;
855;FINA ARTE SOLUÇÕES ODONTOLOGICAS LTDA;SIMPLES;MOVIMENTO;01 - JANEIRO;;FAZER;;;
839;FISIODAY CLINICA DE FISIOTERAPIA LTDA;SIMPLES;MOVIMENTO;01 - JANEIRO;;;Recebimento e valores divergentes contra antecipação de lucros;;
846;FONTANA & FONTANA REPRESENTAÇÕES COMERCIAIS;SIMPLES;MOVIMENTO;01 - JANEIRO;;;Recebimento e valores divergentes contra antecipação de lucros;;
928;GA ENGENHARIA LTDA.;SIMPLES;MOVIMENTO;01 - JANEIRO;;FAZER;Recebimento e valores divergentes contra antecipação de lucros;;
969;GALARDÃO ASSESSORIA TECNICA E TREINAMENTOS LTDA;SIMPLES;MOVIMENTO;01 - JANEIRO;;;Recebimento e valores divergentes contra antecipação de lucros - VER IMPOSTO;;
883;IFG TRANSPORTES LTDA;SIMPLES;MOVIMENTO;01 - JANEIRO;;;883 - IFG, o cliente pagou duas vezes a guia de 06/2025. Fazer a compensação no próximo fechamento - Recebimento e valores divergentes contra antecipação de lucros;;
975;J. A. JARSCHEL;SIMPLES;MOVIMENTO;01 - JANEIRO;;;Recebimento e valores divergentes contra antecipação de lucros;;
990;J.GOMES REPRESENTACOES LTDA - início 19/05/2025;SIMPLES;S/M;01 - JANEIRO;;;Tadeu/Cássio ver para baixar;;
98;JP CONTÁBIL S/S LTDA;SIMPLES;MOVIMENTO;01 - JANEIRO;;;;;
098-1;JP CONTÁBIL S/S LTDA - FILIAL;SIMPLES;MOVIMENTO;01 - JANEIRO;;;;;
921;KERN TRANSPORTES LTDA;SIMPLES;MOVIMENTO;01 - JANEIRO;;;Recebimento e valores divergentes contra antecipação de lucros - ver se tem NF combustivel, pneu, lançar NF a vista;;
844;M & M SERVIÇOS LTDA;SIMPLES;MOVIMENTO;01 - JANEIRO;;;conferir folhas pagamentos e orientar sobre cartão;;
608;M.N SERVIÇOS ADMINISTRATIVOS;SIMPLES;MOVIMENTO;01 - JANEIRO;;;;;
845;MACEDO ENGENHARIA E CONSULTORIA LTDA;SIMPLES;MOVIMENTO;01 - JANEIRO;;;;;
798;MC INFO SERVICES LTDA;SIMPLES;MOVIMENTO;09 - SETEMBRO;2025-10-24 00:00:00;OK;Aguarda importar Questor para contabit - fazer a baixa sócio e ver Pladisa com Ryan;TANIA;
968;MINERADORA KATARINA;SIMPLES;MOVIMENTO;01 - JANEIRO;;;;;
880;MIORANZA ODONTOLOGIA LTDA;SIMPLES;MOVIMENTO;08 - AGOSTO;2025-09-29 00:00:00;;AJUSTAR APLICAÇÃO NO MÊS 6 FALTA EXTRATO;;
950;NASO ARTES PLASTICAS LTDA;SIMPLES;MOVIMENTO;01 - JANEIRO;;;Cássio chamar urgente - Recebimento e valores divergentes contra antecipação de lucros - ver cartão;;
906;PATRICIA SIMONE KASTELLER;SIMPLES;MOVIMENTO;01 - JANEIRO;;;FALAR SOBRE OS GASTOS DO CARTÃO, NÃO PODE COISAS SEM NOTA E PESSOA FISICA;;
808;PDK TECNOLOGIA DA INFORMAÇÃO LTDA;SIMPLES;MOVIMENTO;01 - JANEIRO;;;ver sobre Plano Saude - Recebimento e valores divergentes contra antecipação de lucros;;
886;PELENTIR TRANSPORTES;SIMPLES;MOVIMENTO;01 - JANEIRO;;;Cássio - Chamar o cliente - Recebimento e valores divergentes contra antecipação de lucros;;
789;PICTOM DESIGNER;SIMPLES;MOVIMENTO;01 - JANEIRO;;FAZER;;;
759;PRICEOFF SISTEMAS LTDA - ME;SIMPLES;MOVIMENTO;09 - SETEMBRO;2025-10-28 00:00:00;FAZER URGENTE;Cássio - despesas de pedagio se não tem veiculo - lançar contra antecipação lucros -;TANIA;
987;R&R MECANICA AGRICOLA LTDA;SIMPLES;MOVIMENTO;01 - JANEIRO;;;;;
882;ROMANA PSICOLOGIA E TREINAMENTOS LTDA;SIMPLES;MOVIMENTO;09 - SETEMBRO;2025-10-28 00:00:00;FAZER;FALAR SOBRE OS GASTOS DO CARTÃO, NÃO PODE COISAS SEM NOTA E PESSOA FISICA;TANIA;
762;SCALABRIN CONSULTORIA AGRÍCOLA LTDA ME;SIMPLES;MOVIMENTO;08 - AGOSTO;2025-10-01 00:00:00;FAZER;Solicitado dct 27/10/2025 Tania;;
804;SCORTEGANHA & ALBERTI ESCAVAÇÕES LTDA;SIMPLES;MOVIMENTO;01 - JANEIRO;;;Acompanhar e compartilhar com tadeu como está;;
956;SERGINHO VIOLAO E VOZ LTDA;SIMPLES;MOVIMENTO;01 - JANEIRO;;;Cássio - chamar e orientar cartão;;
876;SERGIO CARLOS BALBINOTE SOCIEDADE INDIVIDUAL DE ADVOCACIA;SIMPLES;MOVIMENTO;09 - SETEMBRO;2025-10-22 00:00:00;OK;REPASSADO IKE 309,46 ISS FIXO (JP enviou errado 2 vezes e cliente pagou);Tania;
909;SILAGEM 3D LTDA;SIMPLES;MOVIMENTO;01 - JANEIRO;;;Chamar cliente -;;
367;SILVA & DRI AGRONOMOS ASSOCIADOS LTDA;SIMPLES;MOVIMENTO;01 - JANEIRO;;;nf 09/2025 fazer a guia e baixar;;
874;SOS AUTO SOCORRO TANGARA LTDA;SIMPLES;MOVIMENTO;01 - JANEIRO;;FAZER;Solicitado dct 27/10/2025 Tania;;
983;TARC INDUTRIAL;SIMPLES;MOVIMENTO;09 - SETEMBRO;2025-10-27 00:00:00;;valores que estão sendo transferido pela conta Bancária para CPF Tadeu - lançar contra Antecipação de Lucros - 27/10/25 Tania - Darli está verificando sobre INSS ref 05/2025 - ver Tadeu Caixa R$ 53.000,00 se pode fazer dis lucros;TANIA;
776;TEREZINHA CELZLEIN BRAMBILLA ME;SIMPLES;MOVIMENTO;01 - JANEIRO;;;Recebimento e valores divergentes contra antecipação de lucros;;
941;TONIALVET SERVIÇOS VETERINÁRIOS LTDA;SIMPLES;MOVIMENTO;01 - JANEIRO;;;;;
796;TRANSPORTES FRITZEN;SIMPLES;MOVIMENTO;01 - JANEIRO;;;SEM MOVIMENTO;;
971;TRANSPORTES MA LTDA;SIMPLES;MOVIMENTO;01 - JANEIRO;;;;;
420;TULIPA LOTERIAS LTDA ME;SIMPLES;MOVIMENTO;07 - JULHO;2025-08-26 00:00:00;;;;
803;VANESSA GIOVANA PETRY TREVISAN BALBINOTE – SOCIEDADE INDIVIDUAL DE ADVOCACIA;SIMPLES;MOVIMENTO;09 - SETEMBRO;2025-10-24 00:00:00;OK;;TANIA;
870;VANESSA HACK FISIOTERAPIA & PILATES LTDA;SIMPLES;MOVIMENTO;08 - AGOSTO;2025-10-27 00:00:00;FAZER URGENTE;FALTA AJUSTAR OS VALORES PAGOS DO EMPRÉSTIMO;PABLO;
488;VIAÇÃO FLÓRIDA LTDA ME;SIMPLES;S/M;05 - MAIO;;;LANÇAR CDB (500,00) EM AGOSTO;PABLO;
877;VINICIUS JOHANN LOPES SOCIEDADE INDIVIDUAL DE ADVOCACIA;SIMPLES;MOVIMENTO;06 - JUNHO;2025-08-27 00:00:00;FAZER URGENTE;FALTA CONFIRMAR DOIS VALORES DO MÊS 06 COM O CLIENTE, O RESTANTE TÁ OK;PABLO;
848;3MZ INCORPORADORA LTDA-Matriz;PRESUMIDO;S/M;09 - SETEMBRO;2025-10-15 00:00:00;;LANÇAR SEGURO TOKIO;PABLO;
922;AJV ASSESSORIA ADMINISTRATIVA LTDA-Matriz;PRESUMIDO;S/M;09 - SETEMBRO;2025-10-22 00:00:00;;LANÇAR A APLICAÇÃO DIARIA;PABLO;
531;ARDAVVI;PRESUMIDO;S/M;09 - SETEMBRO;2025-10-23 00:00:00;;CLIENTE TEM UMA GUIA DE IRPJ EM ABERTO, FOI ENVIADO E AVISADO DUAS VEZES PARA FAZER O PAGAMENTO, O MESMO NÃO RESPONDEU.;PABLO;
657;BALBINOTI REPRESENTAÇÕES;PRESUMIDO;S/M;09 - SETEMBRO;2025-10-23 00:00:00;;VER COM TADEU CAIXA NEGATIVO DESDE 08/05/2025, CONTA 098 R$ 8.077,97 - valor ref cota capital não lançada outros meses;PABLO;
976;BOTTEGA E BANDIERA;PRESUMIDO;S/M;08 - AGOSTO;2025-09-17 00:00:00;;EMPRÉSTIMO DE 500 MIL FOI LANÇADO?;PABLO;
747;EPR EMPREENDIMENTOS IMOBILIÁRIOS;PRESUMIDO;MOVIMENTO;09 - SETEMBRO;2025-10-20 00:00:00;;;PABLO;
200;HOSPITAL SAO LUCAS LTDA-Matriz;PRESUMIDO;S/M;09 - SETEMBRO;2025-10-15 00:00:00;;;PABLO;
923;LUIZ RICARDO PRESTES DE SOUZA LTDA-Matriz;PRESUMIDO;S/M;09 - SETEMBRO;2025-10-14 00:00:00;;VERIFICAR AS NOTAS PAGAS POR BANCO E CONSTAM COMO LANÇADAS NO CAIXA;PABLO;
847;MVP AVIAÇÃO LTDA-Matriz;PRESUMIDO;S/M;09 - SETEMBRO;2025-10-17 00:00:00;;;PABLO;
363;RIO BONITO FORCA E LUZ LTDA - Matriz;PRESUMIDO;S/M;08 - AGOSTO;2025-09-17 00:00:00;;MÊS 6 - 7 - 8 NÃO TEM NADA NA PASTA (ARQUIVOS FISICOS?);PABLO;
986;VANI EMPREENDIMENTOS;PRESUMIDO;S/M;09 - SETEMBRO;2025-10-16 00:00:00;;;PABLO;
851;WK INCORPORADORA;PRESUMIDO;S/M;09 - SETEMBRO;2025-10-16 00:00:00;;CONFERIR VALORES EXTRATO BRADESCO CDB, TALVEZ TENHA SIDO LANÇADO COM VALORES DIVERGENTES - PARCELAMENTOS NA 98 AJUSTAR;PABLO;
642;ZAAL;PRESUMIDO;S/M;09 - SETEMBRO;2025-10-14 00:00:00;;;PABLO;
787;CANTU ABASTECEDORA LTDA-Matriz;PRESUMIDO;S/M;09 - SETEMBRO;2025-10-15 00:00:00;;;PABLO;
774;CANTU AGROPECUARIA LTDA-Matriz;PRESUMIDO;S/M;09 - SETEMBRO;2025-10-15 00:00:00;;;PABLO;
947;INCORPORADORA DONA LOURDES LTDA-Matriz;PRESUMIDO;S/M;09 - SETEMBRO;2025-10-14 00:00:00;;;PABLO;
721;INDUSTRIA DE PAPEIS FORTES LTDA-Matriz;PRESUMIDO;S/M;09 - SETEMBRO;2025-10-14 00:00:00;;TEM UMA COTA NO VALOR DE R$ 252,87 QUE FOI LANÇADA NOS MESES (04-05-06) NOS DEMAIS NÃO TEM EXTRATO MAS É O MESMO VALOR;PABLO;
945;SÃO LUCAS ADMINISTRAÇÃO E PARTICIPAÇÃO;PRESUMIDO;S/M;09 - SETEMBRO;2025-10-14 00:00:00;;SEM MOVIMENTO EM 2025 (NADA NAS PASTAS);PABLO;
765;AGROPECUARIA ROSSATO 3JR LTDA-Matriz;PRESUMIDO;MOVIMENTO;09 - SETEMBRO;2025-10-18 00:00:00;;SEM MOVIMENTO EM 2025 (NADA NAS PASTAS);PABLO;
946;BAPE PARTICIPACOES LTDA-Matriz;PRESUMIDO;S/M;09 - SETEMBRO;2025-10-18 00:00:00;;VERIFICAR ESCRITURA MÊS 06/2025;PABLO;
580;C&P INDUSTRIA DE EMBALAGENS LTDA-Matriz;PRESUMIDO;S/M;09 - SETEMBRO;2025-10-13 00:00:00;;VERIFICAR PARCELAMENTOS (JANEIRO - FEVEREIRO);PABLO;
548;COOPERATIVA AGRO-INDUSTRIAL DE DIANOPOLIS - Matriz;PRESUMIDO;S/M;09 - SETEMBRO;2025-10-18 00:00:00;;SEM MOVIMENTO EM 2025 (NADA NAS PASTAS);PABLO;
810;EMAGRECER, NUTRICAO E ESTETICA JR LTDA-Matriz;PRESUMIDO;S/M;09 - SETEMBRO;2025-09-16 00:00:00;;SEM MOVIMENTO EM 2025 (NADA NAS PASTAS);PABLO;
198;FRIGUZZI TANGARA LTDA-Matriz;PRESUMIDO;S/M;09 - SETEMBRO;2025-10-20 00:00:00;;SEM MOVIMENTO EM 2025 (NADA NAS PASTAS);PABLO;
671;INCORPORADORA DE IMOVEIS BOM FUTURO LTDA-Matriz;PRESUMIDO;S/M;09 - SETEMBRO;2025-09-16 00:00:00;;SEM MOVIMENTO EM 2025 (NADA NAS PASTAS);PABLO;
590;IRMAOS BRESSAN S/A IMOVEIS - Matriz;PRESUMIDO;S/M;09 - SETEMBRO;2025-10-13 00:00:00;;SEM MOVIMENTO EM 2025 (NADA NAS PASTAS);PABLO;
359;METALURGICA SLONGO LTDA-Matriz;PRESUMIDO;S/M;09 - SETEMBRO;2025-10-20 00:00:00;;SEM MOVIMENTO EM 2025 (NADA NAS PASTAS);PABLO;
665;MONTE CARVALHO TRANSPORTES LTDA-Matriz;PRESUMIDO;S/M;09 - SETEMBRO;2025-10-14 00:00:00;;SEM MOVIMENTO EM 2025 (NADA NAS PASTAS);PABLO;
763;PRIMOS AGROPECUARIA LTDA-Matriz;PRESUMIDO;S/M;09 - SETEMBRO;2025-10-13 00:00:00;;SEM MOVIMENTO EM 2025 (NADA NAS PASTAS);PABLO;
160;SERRARIA PASETTO LTDA-Matriz;PRESUMIDO;S/M;09 - SETEMBRO;2025-10-13 00:00:00;;SEM MOVIMENTO EM 2025 (NADA NAS PASTAS);PABLO;
655;TRANSPORTES HACK & SLONGO LTDA-Matriz;PRESUMIDO;S/M;09 - SETEMBRO;2025-10-13 00:00:00;;SEM MOVIMENTO EM 2025 (NADA NAS PASTAS);PABLO;
788;VALESAN ENGENHARIA E CONSTRUÇÕES LTDA-Matriz;PRESUMIDO;S/M;09 - SETEMBRO;2025-10-10 00:00:00;;Lançar na Prefeitura Videira Protocolo - SEM MOVIMENTO EM 2025 (NADA NAS PASTAS) tem alvara 1 vez por ano Março;PABLO;
690;W & F SLONGO TRANSPORTES LTDA-Matriz;PRESUMIDO;S/M;09 - SETEMBRO;2025-10-10 00:00:00;;SEM MOVIMENTO EM 2025 (NADA NAS PASTAS);PABLO;
992;S. ALBERTI TECNOLOGIA;PRESUMIDO;MOVIMENTO;09 - SETEMBRO;2025-10-10 00:00:00;;;PABLO;
